objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll016,Galino_2018b.jpg,,,Work Unit 13 and their panelists ,,2018-11-09,Work Unit 13 takes a picture with their panelists during Pagbantala 2018,Work Unit 13;panelists;Pagbantala,"Jaro, Iloilo",10.7538277,122.5879632,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,Galino_2018c.jpg,,,Work Unit 13 presenting their work in Singapore,,2018-11-03,Work Unit 13 presenting their work to a panelist in Science Castle Singapore 2018,Science Castle; SIngapore; Work Unit 13,"Singapore, Singapore",1.353124316,103.8717052,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,Galino_2019a.jpg,,,Assembling a computer,,2019-11-17,Photo of the computer assembly part of the Student Assistant Exam of the UP Computer Center,exam;computer;assembly,"UP Diliman, Quezon City",14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,Galino_2019b.jpg,,,UP Computer Center Christmas Party,,2019-11-16,Photo of the UP Computer Center Student Assistants and Applicants,,,14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,Galino_2019c.jpg,,,Working on the terminal for the exa,,2019-11-17,Photo of John Henry Galino connecting to a computer using ssh,ssh;terminal;John Henry Galino,"UP Diliman, Quezon City",14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,Galino_2019d.jpg,,,Keeping track of the UAAP scores,,2019-09-29,Photo of a computer showing a terminal that controls the scoreboard outside  the UP Computer Center while the game between the Ateneo Blue Eagles and UP Fighting Maroons show on the TV,UAAP;terminal;computer;TV,"UP Diliman, Quezon City",14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,Galino_2019e.jpg,,,Window shopping at the Manila International Book Fair,,2019-09-14,Photo of a yellow book while other books are in the background,book fair;books,"SMX Convention Center, Pasay City",14.53390606,120.9821239,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,Galino_2019f.jpg,,,Cats at UP Department of Mechanical Engineering,,2019-09-13,Photo of cats in a hallway of the UP Department of Mechanical Engineering,cats;hallway;UP Department of Mechanical Engineering,"UP DIliman, Quezon City",14.65740044,121.0687437,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll024,Angeles_2016a.jpg,,,PSHS CARC Greek Fest 2016,,2016-01-22,This photo was taken during the annual Greek Fest of PSHS CARC. Students are dressed as Greek mythological figures.,high school;school events;greek festival,"Baguio City, Philippines",16.4172891,120.5623957,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll025,Angeles_2016b.jpg,,,PSHS CARC Scholar's Night 2016,,2016-02-18,Celebration of Scholar's Night 2016 as a way for students to destress after the past quarter. The photo was taken on a photobooth rented by the organizers.,high school;school events;scholars night,"Baguio City, Philippines",16.4172891,120.5623957,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll026,Angeles_2016c.jpg,,,Lunch Time at PSHS CARC,,2016-10-14,This photo was taken during lunch time at PSHS CARC. Students are given the time to eat their lunch and to socialize with their classmates.,high school; school time; lunch,"Baguio City, Philippines",16.4172891,120.5623957,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll027,Angeles_2017a.jpg,,,PSHS CARC School Intramurals 2017,,2017-8-18,Basketball finals game during the PSHS CARC 2017 Intramurals. Students watch the finals game at the last day of Intramurals.,high school;school events;intramurals,"Baguio City, Philippines",16.4172891,120.5623957,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll028,Angeles_2017b.jpg,,,PSHS CARC Filming for School Project,,2017-9-7,Students are filming for a Biology school project while wearing traditional outfits from the Cordilleras. The photo was taken inside the school grounds where students are free to roam and socialize.,high school;school project,"Baguio City, Philippines",16.4172891,120.5623957,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll029,Angeles_2018a.JPG,,,PSHS CARC Research Congress 2018,,2018-12-13,Students present their research projects to the entire school during the Research Congress. The photo was taken while the students defend their project to a panel of judges.,high school;school events;research congress,"Baguio City, Philippines",16.4172891,120.5623957,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll030,Angeles_2018b.JPG,,,PSHS CARC English Project Presentation,,2018-11-5,The English Project Presentation allows students to present their paper on a chosen social issue. The photo was taken right after the defense.,high school;school events;school project,"Baguio City, Philippines",16.4172891,120.5623957,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll031,Angeles_2019a.JPG,,,UP Diliman Chemistry 16 Laboratory Class,,2019-11-7,UP students do experiments during their Chem 16 laboratory class. The photo was taken during a distillation experiment.,universities;college;campus;class;chemistry;institute of chemistry,"Quezon City, Philippines",14.65024957,121.0730159,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll032,Angeles_2019b.JPG,,,UP Diliman HallyUP Quiz Show,,2019-10-25,Students joining a Korean culture themed quiz show orgnized by UP student organization HallyUP. The photo was taken during the awarding ceremony at Palma Hall.,universities;college;campus;student orgnaization;korean culture,"Quezon City, Philippines",14.65392491,121.0699406,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll033,Angeles_2019c.JPG,,,UP Diliman Pep Rally 2019,,2019-8-30,Students gathering at the UP CHK Gym for the UP Pep Rally to cheer for different sports teams of UP. This photo collage was done to collect selfies during the event.,universities;college;campus;up pep rally; chk gym,"Quezon City, Philippines",14.65940502,121.062877,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll034,10/27/2017 - EALA.JPG,,,10/27/2017 Painting at the UPJMA KIDS Popup Booth in AS,,2017-10-27,Photograph of myself interacting with an Org Booth in AS ,universities;UP;UP Diliman;Palma Hall; AS; UP JMA KIDS; student life,UP Diliman Quezon City ,14.6538007,121.0698795,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll035,10/07/2017 - EALA.JPG,,,10/07/2017 Field trip to Taal Volcano for Geol 11,,2017-10-07,Photograph of myself posing for the camera on Taal Volcano for a fieldtrip in my geol 11 class,universities;UP; UP Diliman; Taal Volcano; Batangas; Field Trip; Geol 11,,14.0116484,120.9978626,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll036,01//17/2020 - EALA.jpg,,,01/17/2020 Field trip to Vargas Museum for Arts 1 Class,,2020-01-17,Photograph of an audiovisual exhibit at the Vargas Museum on a field trip day for Arts 1 Class,universities;UP; UP Diliman; Quezon City; Vargas Museum; Field Trip; Arts 1,UP Diliman; Quezon City,14.65351959,121.0668247,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll037,05/08/2019 - EALA.jpg,,,05/08/2019 Photo with Carpool Friends going home,,2019-05-08,Photograph of myself and some of my carpool mates and friends at Petron Katipunan before heading home after school ,universities;UP;UP Diliman; student life,Petron Katipunan; Quezon City,14.6468547,121.0747621,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll038,09/12/2019 - EALA.jpg,,,05/08/2019 Afternoon Hangout with Friends at Lan Kwai ,,2019-09-12,"Photograph of myself and my friends at a college resto-bar in Katipunan, Lan Kwai, now closed down",universities;UP;UP Diliman; student life,"Lan Kwai, Katipunan, Quezon City",14.63621932,121.0732096,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll039,07/30/2019 - EALA.jpg,,,07/30/2019 Hangout with Orgmates at Walrus Katipunan,,2019-07-30,Photograph of myself and some of my orgmates from UP JMA drinking at Walrus Katipunan,universities;UP;UP Diliman; student life; UP JMA,"Walrus Katipunan, Quezon City ",14.6395618,121.0742445,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
